Designator,Mid X,Mid Y,Rotation,Layer
PS101,192.55,-117.14,270.0,top
R102,182.45,-116.99,270.0,top
S101,89.45,-81.24,0.0,top
S102,89.45,-98.24,0.0,top
S103,89.45,-115.24,0.0,top
S104,107.45,-70.24,0.0,top
S105,107.45,-87.24,0.0,top
S106,107.45,-104.24,0.0,top
S107,125.45,-66.74,0.0,top
S108,125.45,-83.74,0.0,top
S109,125.45,-100.74,0.0,top
S110,143.45,-70.24,0.0,top
S111,143.45,-87.24,0.0,top
S112,143.45,-104.24,0.0,top
S113,161.45,-72.24,0.0,top
S114,161.45,-89.24,0.0,top
S115,161.45,-106.24,0.0,top
S116,162.95,-125.74,345.0,top
S117,181.476089,-133.427152,330.0,top
S118,197.360087,-145.640087,315.0,top
U101,182.07,-81.8,0.0,top
ps102,192.55,-117.14,90.0,bottom
r101,182.45,-116.99,270.0,bottom
